,Make,Model,MSRP
785,Volvo,850,2000
786,Volvo,850,2000
787,Volvo,850,2000
788,Volvo,850,2000
789,Volvo,850,2000
790,Volvo,850,2000
791,Volvo,850,2000
792,Volvo,850,2000
793,Volvo,850,2000
794,Volvo,850,2091
795,Volvo,850,2000
796,Volvo,850,2000
797,Volvo,850,2000
798,Toyota,86,26255
799,Toyota,86,26975
800,Saab,9-2X,26950
801,Saab,9-2X,22990
802,Saab,9-2X,26950
803,Saab,9-2X,22990
804,Saab,9-3 Griffin,28900
805,Saab,9-3 Griffin,44080
806,Saab,9-3 Griffin,46080
807,Saab,9-3 Griffin,37115
808,Saab,9-3 Griffin,39490
809,Saab,9-3 Griffin,34340
810,Saab,9-3 Griffin,44080
811,Saab,9-3 Griffin,40840
812,Saab,9-3 Griffin,31180
813,Saab,9-3 Griffin,32395
814,Saab,9-3 Griffin,34340
815,Saab,9-3 Griffin,34975
816,Saab,9-3 Griffin,37115
817,Saab,9-3 Griffin,34975
818,Saab,9-3 Griffin,30250
819,Saab,9-3 Griffin,32395
820,Saab,9-3 Griffin,29830
821,Saab,9-3 Griffin,46080
822,Saab,9-3,37810
823,Saab,9-3,51330
824,Saab,9-3,38305
825,Saab,9-3,44885
826,Saab,9-3,30360
827,Saab,9-3,42130
828,Saab,9-3,43605
829,Saab,9-3,31790
830,Saab,9-3,35315
831,Saab,9-3,37140
832,Saab,9-3,34150
833,Saab,9-3,44455
834,Saab,9-3,36395
835,Saab,9-3,47345
836,Saab,9-3,32395
837,Saab,9-3,28900
838,Saab,9-3,30330
839,Saab,9-3,39990
840,Saab,9-3,38115
841,Saab,9-3,45080
842,Saab,9-3,35340
843,Saab,9-3,36975
844,Saab,9-3,37020
845,Saab,9-3,28900
846,Saab,9-3,38115
847,Saab,9-3,32395
848,Saab,9-3,39990
849,Saab,9-3,30330
850,Saab,9-3,37020
851,Saab,9-3,35340
852,Saab,9-3,36975
853,Saab,9-3,45080
854,Saab,9-4X,37250
855,Saab,9-4X,35875
856,Saab,9-4X,33380
857,Saab,9-4X,40245
858,Saab,9-4X,48010
859,Saab,9-5,39400
860,Saab,9-5,43270
861,Saab,9-5,39650
862,Saab,9-5,38380
863,Saab,9-5,40765
864,Saab,9-5,42000
865,Saab,9-5,49165
866,Saab,9-5,38525
867,Saab,9-5,49565
868,Saab,9-5,43435
869,Saab,9-5,48030
870,Saab,9-7X,39190
871,Saab,9-7X,41190
872,Saab,9-7X,42770
873,Saab,9-7X,40400
874,Saab,9-7X,46530
875,Saab,9-7X,49105
876,Saab,9-7X,42615
877,Saab,9-7X,45345
878,Saab,9000,2000
879,Saab,9000,2000
880,Saab,9000,2000
881,Saab,9000,2000
882,Saab,9000,2122
883,Saab,9000,2000
884,Saab,9000,2145
885,Saab,9000,2084
886,Saab,9000,2063
887,Saab,9000,2172
888,Saab,900,2000
889,Saab,900,2000
890,Saab,900,2000
891,Saab,900,2000
892,Saab,900,2000
893,Saab,900,2000
894,Saab,900,2000
895,Saab,900,2000
896,Saab,900,2000
897,Saab,900,2000
898,Saab,900,2000
899,Saab,900,2000
900,Saab,900,2078
901,Saab,900,2000
902,Saab,900,2000
903,Saab,900,2000
904,Saab,900,2117
905,Saab,900,2000
906,Saab,900,2115
907,Saab,900,2000
908,Saab,900,2000
909,Saab,900,2268
910,Saab,900,2000
911,Audi,90,2000
912,Audi,90,2000
913,Audi,90,2000
914,Audi,90,2000
915,Audi,90,2000
916,Audi,90,2000
917,Audi,90,2000
918,Audi,90,2000
919,Audi,90,2000
920,Porsche,911,96200
921,Porsche,911,132800
922,Porsche,911,120900
923,Porsche,911,105630
924,Porsche,911,98900
925,Porsche,911,163000
926,Porsche,911,102930
927,Porsche,911,151100
928,Porsche,911,91030
929,Porsche,911,84300
930,Porsche,911,114200
931,Porsche,911,182700
932,Porsche,911,194600
933,Porsche,911,130400
934,Porsche,911,110800
935,Porsche,911,117530
936,Porsche,911,126100
937,Porsche,911,101600
938,Porsche,911,116200
939,Porsche,911,102930
940,Porsche,911,120900
941,Porsche,911,105630
942,Porsche,911,126100
943,Porsche,911,91030
944,Porsche,911,98900
945,Porsche,911,132800
946,Porsche,911,84300
947,Porsche,911,151100
948,Porsche,911,104600
949,Porsche,911,102930
950,Porsche,911,132800
951,Porsche,911,114200
952,Porsche,911,88800
953,Porsche,911,194600
954,Porsche,911,96200
955,Porsche,911,117530
956,Porsche,911,94800
957,Porsche,911,110800
958,Porsche,911,117530
959,Porsche,911,98500
960,Porsche,911,163000
961,Porsche,911,182700
962,Porsche,911,130400
963,Porsche,911,175900
964,Porsche,911,159200
965,Porsche,911,108600
966,Porsche,911,200400
967,Porsche,911,115700
968,Porsche,911,110300
969,Porsche,911,122600
970,Porsche,911,103400
971,Porsche,911,96300
972,Porsche,911,101700
973,Porsche,911,171500
974,Porsche,911,188100
975,Porsche,911,108600
976,Porsche,911,122600
977,Porsche,911,89400
978,Porsche,928,6294
979,Porsche,928,7419
980,Porsche,928,9400
981,Mazda,929,2000
982,Mazda,929,2000
983,Mazda,929,2000
984,Volvo,940,2000
985,Volvo,940,2000
986,Volvo,940,2000
987,Volvo,940,2000
988,Volvo,940,2000
989,Volvo,940,2000
990,Volvo,940,2000
991,Volvo,940,2000
992,Volvo,940,2000
993,Volvo,940,2000
994,Volvo,940,2000
995,Volvo,940,2000
996,Volvo,940,2000
997,Volvo,940,2000
998,Porsche,944,2667
999,Porsche,944,3083
